Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Purpose,Interest_Rate,Application_Date,Loan_Status,Total_Income,Loan_to_Income_Ratio,Application_Year,Application_Month,Is_Default
LN100087,Female,Yes,1,Graduate,No,8789,0,8.0,120,1,Urban,Business,5.72,2024-04-21,Fully Paid,8789,0.9102286949596086,2024,April,0.0
LN100088,Female,Yes,2,Graduate,No,5705,2068,19.0,240,1,Semiurban,Education,22.51,2024-01-04,Fully Paid,7773,2.444358677473305,2024,January,0.0
LN100089,Male,Yes,0,Graduate,Yes,4041,0,8.0,60,1,Urban,Education,10.51,2024-05-17,Fully Paid,4041,1.979707993071022,2024,May,0.0
LN100090,Male,No,2,Graduate,No,5313,7593,22.0,60,1,Urban,Personal,9.86,2022-04-21,Fully Paid,12906,1.7046335037966838,2022,April,0.0
LN100091,Female,Yes,3,Not Graduate,No,11383,2991,15.0,300,1,Rural,Auto,11.4,2023-09-08,Fully Paid,14374,1.0435508557117017,2023,September,0.0
LN100092,Female,Yes,0,Graduate,No,9725,0,23.0,300,1,Rural,Home,10.15,2023-06-11,Charged Off,9725,2.365038560411311,2023,June,1.0
LN100093,Male,Yes,0,Not Graduate,No,6371,1371,16.0,360,1,Urban,Personal,11.43,2024-02-21,Fully Paid,7742,2.066649444587962,2024,February,0.0
LN100094,Female,Yes,0,Graduate,No,11404,1914,14.0,360,1,Semiurban,Home,15.5,2023-11-02,Fully Paid,13318,1.0512088902237573,2023,November,0.0
LN100095,Male,Yes,2,Graduate,No,10627,7464,44.0,120,1,Rural,Education,10.56,2022-06-06,Charged Off,18091,2.4321485821679287,2022,June,1.0
LN100096,Male,Yes,1,Not Graduate,Yes,5316,1913,20.0,360,1,Urban,Education,6.93,2023-06-23,Fully Paid,7229,2.7666343892654583,2023,June,0.0
LN100097,Male,Yes,1,Graduate,Yes,12475,0,36.0,300,1,Rural,Personal,10.43,2023-08-20,Charged Off,12475,2.8857715430861726,2023,August,1.0
LN100098,Male,No,2,Graduate,No,6188,0,20.0,300,1,Urban,Education,9.37,2022-01-09,Fully Paid,6188,3.2320620555914674,2022,January,0.0
LN100099,Male,Yes,0,Graduate,Yes,6494,3100,18.0,240,1,Semiurban,Home,15.98,2022-10-03,Fully Paid,9594,1.876172607879925,2022,October,0.0
LN100100,Male,Yes,3,Graduate,No,3490,2270,19.0,300,1,Semiurban,Home,15.1,2022-08-15,Fully Paid,5760,3.298611111111111,2022,August,0.0
LN100101,Female,No,0,Graduate,No,5667,1719,23.0,84,1,Semiurban,Home,11.38,2022-07-05,Charged Off,7386,3.113999458434877,2022,July,1.0
LN100102,Male,No,0,Not Graduate,No,6751,3763,17.0,300,1,Rural,Personal,6.52,2023-08-14,Fully Paid,10514,1.6168917633631348,2023,August,0.0
LN100103,Male,No,1,Graduate,No,7936,4787,16.0,84,0,Urban,Medical,6.71,2022-08-04,Charged Off,12723,1.2575650396918965,2022,August,1.0
LN100104,Female,Yes,2,Graduate,No,4713,1203,12.0,180,1,Urban,Home,11.05,2023-03-09,Fully Paid,5916,2.028397565922921,2023,March,0.0
LN100105,Male,Yes,0,Graduate,No,5402,3912,18.0,360,1,Semiurban,Medical,12.18,2023-07-23,Fully Paid,9314,1.932574618853339,2023,July,0.0
LN100106,Male,Yes,2,Graduate,No,12584,0,30.0,360,1,Rural,Auto,9.69,2023-10-18,Fully Paid,12584,2.3839796567069294,2023,October,0.0
LN100107,Female,No,3,Graduate,Yes,10358,2489,31.0,360,1,Urban,Personal,9.32,2022-12-22,Fully Paid,12847,2.4130147116058223,2022,December,0.0
LN100108,Male,No,0,Graduate,No,11086,0,31.0,360,1,Rural,Personal,8.93,2024-04-22,Fully Paid,11086,2.79631968248241,2024,April,0.0
LN100109,Male,Yes,0,Graduate,No,6956,0,15.0,300,1,Semiurban,Business,10.92,2023-01-27,Charged Off,6956,2.156411730879816,2023,January,1.0
LN100110,Male,No,0,Graduate,No,8022,0,9.0,60,1,Urban,Home,5.0,2023-08-02,Fully Paid,8022,1.1219147344801794,2023,August,0.0
LN100111,Male,Yes,0,Graduate,No,8862,4552,42.0,360,1,Rural,Personal,7.15,2022-10-02,Fully Paid,13414,3.131057104517668,2022,October,0.0
LN100112,Female,Yes,0,Graduate,Yes,12511,3453,26.0,120,0,Urban,Auto,8.81,2023-05-09,Charged Off,15964,1.6286644951140066,2023,May,1.0
LN100113,Female,Yes,3,Graduate,Yes,4013,0,14.0,360,1,Semiurban,Personal,15.23,2023-09-09,Fully Paid,4013,3.48866184899078,2023,September,0.0
LN100114,Female,Yes,1,Graduate,No,5868,1791,9.0,240,1,Urban,Business,8.15,2023-03-27,Charged Off,7659,1.1750881316098707,2023,March,1.0
LN100115,Female,Yes,0,Not Graduate,No,7755,0,26.0,180,1,Urban,Home,11.63,2023-02-24,Fully Paid,7755,3.352675693101225,2023,February,0.0
LN100116,Female,Yes,0,Graduate,No,7326,0,8.0,60,1,Semiurban,Auto,11.79,2023-12-01,Fully Paid,7326,1.092001092001092,2023,December,0.0
LN100117,Male,No,1,Graduate,No,5378,4968,15.0,240,0,Semiurban,Personal,15.54,2022-06-13,Current,10346,1.4498356852890006,2022,June,
LN100118,Female,Yes,0,Graduate,No,8578,0,8.0,360,1,Semiurban,Education,15.42,2024-02-18,Fully Paid,8578,0.932618325950105,2024,February,0.0
LN100119,Male,Yes,3,Graduate,No,5951,3577,26.0,180,1,Semiurban,Education,10.8,2023-07-17,Charged Off,9528,2.72879932829555,2023,July,1.0
LN100120,Female,No,2,Graduate,No,7133,0,22.0,120,1,Urban,Personal,9.34,2023-09-30,Fully Paid,7133,3.0842562736576475,2023,September,0.0
LN100121,Female,No,0,Graduate,No,8438,2069,19.0,300,1,Semiurban,Business,8.68,2023-08-15,Fully Paid,10507,1.8083182640144666,2023,August,0.0
LN100122,Male,No,3,Graduate,No,6051,2394,28.0,120,1,Rural,Personal,10.16,2022-07-02,Fully Paid,8445,3.315571343990527,2022,July,0.0
LN100123,Male,No,0,Graduate,No,9420,6824,39.0,360,1,Rural,Business,9.48,2022-11-06,Fully Paid,16244,2.400886481162275,2022,November,0.0
LN100124,Male,No,0,Graduate,No,10065,2790,32.0,180,1,Urban,Education,12.94,2022-01-17,Fully Paid,12855,2.4893037728510308,2022,January,0.0
LN100125,Male,Yes,1,Graduate,No,5449,4444,30.0,240,0,Urban,Home,12.47,2023-03-22,Charged Off,9893,3.0324471848781966,2023,March,1.0
LN100126,Female,Yes,1,Graduate,No,5936,0,10.0,120,1,Rural,Home,13.07,2022-06-19,Fully Paid,5936,1.6846361185983827,2022,June,0.0
LN100127,Female,Yes,0,Graduate,No,4950,2195,13.0,180,1,Semiurban,Home,15.41,2022-10-07,Fully Paid,7145,1.8194541637508748,2022,October,0.0
LN100128,Male,Yes,3,Not Graduate,No,7075,2991,33.0,360,1,Semiurban,Education,17.52,2024-03-26,Fully Paid,10066,3.2783628054838068,2024,March,0.0
LN100129,Male,Yes,0,Not Graduate,Yes,7934,3777,38.0,180,1,Rural,Education,11.44,2022-12-06,Fully Paid,11711,3.2448125693792162,2022,December,0.0
LN100130,Male,No,0,Not Graduate,No,6257,3115,32.0,360,1,Urban,Auto,14.85,2023-12-27,Fully Paid,9372,3.4144259496372174,2023,December,0.0
LN100131,Male,Yes,0,Not Graduate,No,7852,2142,32.0,60,1,Semiurban,Auto,9.77,2023-12-11,Charged Off,9994,3.201921152691615,2023,December,1.0
LN100132,Male,Yes,1,Not Graduate,No,5880,6834,15.0,360,1,Rural,Home,15.15,2023-06-03,Fully Paid,12714,1.179801793298726,2023,June,0.0
LN100133,Male,Yes,0,Graduate,No,5948,3471,28.0,360,1,Semiurban,Home,14.72,2022-01-11,Fully Paid,9419,2.97271472555473,2022,January,0.0
LN100134,Female,No,1,Graduate,No,8084,0,15.0,120,0,Urban,Home,14.53,2023-06-08,Charged Off,8084,1.855517070757051,2023,June,1.0
LN100135,Male,Yes,3,Graduate,Yes,6087,0,21.0,180,0,Urban,Personal,11.33,2023-09-14,Charged Off,6087,3.4499753573188765,2023,September,1.0
LN100136,Male,No,0,Graduate,No,6937,0,14.0,60,1,Urban,Home,8.66,2022-05-13,Fully Paid,6937,2.0181634712411705,2022,May,0.0
LN100137,Female,Yes,2,Graduate,No,8189,4351,29.0,360,0,Rural,Home,6.12,2023-10-02,Fully Paid,12540,2.3125996810207337,2023,October,0.0
LN100138,Male,Yes,0,Graduate,No,7811,7003,33.0,360,1,Urban,Medical,10.86,2022-05-28,Fully Paid,14814,2.227622519238558,2022,May,0.0
LN100139,Male,Yes,2,Graduate,No,2911,3254,10.0,360,1,Urban,Business,16.37,2023-07-20,Fully Paid,6165,1.6220600162206003,2023,July,0.0
LN100140,Female,No,2,Graduate,No,5910,4741,11.0,240,1,Rural,Home,9.92,2024-04-02,Fully Paid,10651,1.0327668763496385,2024,April,0.0
LN100141,Male,Yes,0,Not Graduate,Yes,10453,0,34.0,120,1,Urban,Education,13.75,2022-03-20,Fully Paid,10453,3.2526547402659522,2022,March,0.0
LN100142,Male,No,1,Graduate,Yes,3942,2699,20.0,360,1,Urban,Education,13.95,2022-12-12,Fully Paid,6641,3.011594639361542,2022,December,0.0
LN100143,Male,Yes,0,Graduate,No,2361,0,3.0,360,1,Urban,Auto,10.01,2023-09-01,Charged Off,2361,1.2706480304955527,2023,September,1.0
LN100144,Male,Yes,0,Graduate,No,8714,2714,33.0,300,0,Urban,Personal,15.61,2022-09-06,Fully Paid,11428,2.887644382219111,2022,September,0.0
LN100145,Male,No,2,Graduate,No,7755,0,19.0,60,1,Semiurban,Home,5.0,2023-10-01,Fully Paid,7755,2.4500322372662797,2023,October,0.0
LN100146,Female,No,0,Not Graduate,Yes,4722,0,9.0,240,1,Rural,Auto,6.72,2023-06-26,Fully Paid,4722,1.9059720457433291,2023,June,0.0
LN100147,Male,No,0,Graduate,No,7391,2046,14.0,180,1,Rural,Education,7.8,2022-01-24,Current,9437,1.4835223058175269,2022,January,
LN100148,Male,No,0,Not Graduate,No,5628,0,18.0,60,1,Semiurban,Home,8.13,2023-04-16,Fully Paid,5628,3.1982942430703623,2023,April,0.0
LN100149,Male,No,2,Graduate,No,8480,0,23.0,360,1,Semiurban,Education,12.18,2022-07-20,Fully Paid,8480,2.7122641509433962,2022,July,0.0
LN100150,Female,No,0,Graduate,Yes,2480,2842,12.0,300,1,Semiurban,Personal,12.02,2022-05-11,Fully Paid,5322,2.254791431792559,2022,May,0.0
LN100151,Male,No,0,Graduate,Yes,6461,0,16.0,120,1,Urban,Education,12.38,2023-09-26,Fully Paid,6461,2.4763968425940255,2023,September,0.0
LN100152,Male,No,1,Graduate,No,5817,2567,9.0,180,1,Urban,Home,13.09,2022-12-22,Fully Paid,8384,1.0734732824427482,2022,December,0.0
LN100153,Male,No,2,Graduate,No,9433,0,20.0,360,1,Rural,Education,7.67,2024-04-18,Fully Paid,9433,2.12021626205873,2024,April,0.0
LN100154,Male,Yes,0,Graduate,No,3530,1922,7.0,240,1,Urban,Home,6.74,2022-05-30,Fully Paid,5452,1.2839325018341894,2022,May,0.0
LN100155,Male,No,0,Graduate,Yes,7218,0,10.0,360,1,Urban,Auto,12.39,2023-06-10,Fully Paid,7218,1.3854253255749516,2023,June,0.0
LN100156,Female,Yes,0,Not Graduate,No,8675,2443,29.0,84,1,Semiurban,Home,8.79,2022-10-31,Fully Paid,11118,2.6083828026623492,2022,October,0.0
LN100157,Female,No,0,Graduate,No,13423,0,44.0,360,1,Semiurban,Home,5.5,2023-06-25,Fully Paid,13423,3.2779557475974075,2023,June,0.0
LN100158,Male,No,0,Not Graduate,No,5941,4958,21.0,240,0,Urban,Auto,14.4,2022-02-19,Fully Paid,10899,1.9267822736030829,2022,February,0.0
LN100159,Female,Yes,2,Graduate,No,7983,3069,15.0,360,1,Urban,Auto,15.88,2023-04-09,Current,11052,1.3572204125950054,2023,April,
LN100160,Male,No,1,Graduate,No,3604,4518,21.0,240,1,Urban,Business,16.45,2022-08-28,Fully Paid,8122,2.5855700566362967,2022,August,0.0
LN100161,Female,Yes,1,Graduate,Yes,7085,675,24.0,180,0,Semiurban,Personal,11.65,2023-04-27,Fully Paid,7760,3.0927835051546393,2023,April,0.0
LN100162,Female,Yes,0,Graduate,No,10744,0,30.0,120,0,Urban,Home,13.19,2023-03-31,Fully Paid,10744,2.7922561429635144,2023,March,0.0
LN100163,Male,No,2,Graduate,No,13475,0,42.0,240,0,Semiurban,Auto,15.79,2022-10-10,Fully Paid,13475,3.116883116883117,2022,October,0.0
LN100164,Male,Yes,0,Graduate,No,8259,3543,27.0,60,1,Semiurban,Auto,8.76,2022-12-01,Fully Paid,11802,2.287747839349263,2022,December,0.0
LN100165,Female,No,0,Graduate,No,3935,0,11.0,180,1,Rural,Home,14.89,2022-12-18,Fully Paid,3935,2.7954256670902162,2022,December,0.0
LN100166,Male,No,1,Not Graduate,No,11400,1859,16.0,180,1,Urban,Business,11.96,2023-10-30,Fully Paid,13259,1.2067275058450864,2023,October,0.0
LN100167,Male,Yes,0,Graduate,Yes,3946,0,7.0,84,1,Urban,Home,14.2,2023-10-11,Fully Paid,3946,1.7739483020780538,2023,October,0.0
LN100168,Male,Yes,1,Graduate,No,4565,0,8.0,120,0,Semiurban,Medical,11.65,2022-11-23,Fully Paid,4565,1.7524644030668126,2022,November,0.0
LN100169,Female,Yes,0,Graduate,Yes,11775,2899,32.0,360,1,Semiurban,Business,15.54,2022-12-02,Fully Paid,14674,2.180727817909227,2022,December,0.0
